

2022/02/24 (02:00:58) | ===> btop++ v.1.2.3
2022/02/24 (02:00:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/24 (02:05:29) | ===> btop++ v.1.2.3
2022/02/24 (02:05:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/24 (02:07:21) | ===> btop++ v.1.2.3
2022/02/24 (02:07:21) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/24 (02:08:06) | ===> btop++ v.1.2.3
2022/02/24 (02:08:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/24 (02:08:51) | ===> btop++ v.1.2.3
2022/02/24 (02:08:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/24 (02:13:53) | ===> btop++ v.1.2.3
2022/02/24 (02:13:53) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/25 (01:32:29) | ===> btop++ v.1.2.3
2022/02/25 (01:32:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/02/25 (01:32:51) | ===> btop++ v.1.2.3
2022/02/25 (01:32:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/10 (00:21:55) | ===> btop++ v.1.2.5
2022/03/10 (00:21:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/10 (00:46:34) | ===> btop++ v.1.2.5
2022/03/10 (00:46:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/13 (14:32:11) | ===> btop++ v.1.2.5
2022/03/13 (14:32:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/14 (01:26:05) | ===> btop++ v.1.2.5
2022/03/14 (01:26:05) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/14 (01:32:05) | ===> btop++ v.1.2.5
2022/03/14 (01:32:05) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/14 (01:41:44) | ===> btop++ v.1.2.5
2022/03/14 (01:41:44) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/26 (00:36:43) | ===> btop++ v.1.2.5
2022/03/26 (00:36:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/06 (22:29:17) | ===> btop++ v.1.2.5
2022/04/06 (22:29:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/18 (11:19:53) | ===> btop++ v.1.2.6
2022/04/18 (11:19:53) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/28 (20:30:56) | ===> btop++ v.1.2.6
2022/04/28 (20:30:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/28 (20:31:45) | ===> btop++ v.1.2.6
2022/04/28 (20:31:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/04/28 (20:35:00) | ===> btop++ v.1.2.6
2022/04/28 (20:35:00) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/07 (21:30:15) | ===> btop++ v.1.2.6
2022/05/07 (21:30:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/07 (21:34:56) | ===> btop++ v.1.2.6
2022/05/07 (21:34:56) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/07 (21:35:06) | ===> btop++ v.1.2.6
2022/05/07 (21:35:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/07 (21:41:37) | ===> btop++ v.1.2.6
2022/05/07 (21:41:37) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/07 (22:28:51) | ===> btop++ v.1.2.6
2022/05/07 (22:28:51) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/09 (15:06:45) | ===> btop++ v.1.2.6
2022/05/09 (15:06:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/09 (16:07:01) | ===> btop++ v.1.2.6
2022/05/09 (16:07:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/10 (23:44:00) | ===> btop++ v.1.2.6
2022/05/10 (23:44:00) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/12 (00:22:09) | ===> btop++ v.1.2.6
2022/05/12 (00:22:09) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/23 (15:45:10) | ===> btop++ v.1.2.6
2022/05/23 (15:45:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/23 (15:49:03) | ===> btop++ v.1.2.6
2022/05/23 (15:49:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/23 (16:30:41) | ===> btop++ v.1.2.6
2022/05/23 (16:30:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/23 (16:31:14) | ===> btop++ v.1.2.6
2022/05/23 (16:31:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/23 (16:32:38) | ===> btop++ v.1.2.6
2022/05/23 (16:32:38) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/05/23 (16:33:30) | ===> btop++ v.1.2.6
2022/05/23 (16:33:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/02 (02:28:11) | ===> btop++ v.1.2.6
2022/06/02 (02:28:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/04 (02:39:04) | ===> btop++ v.1.2.6
2022/06/04 (02:39:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/04 (04:20:26) | ===> btop++ v.1.2.6
2022/06/04 (04:20:26) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/04 (16:08:35) | ===> btop++ v.1.2.6
2022/06/04 (16:08:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/05 (00:54:29) | ===> btop++ v.1.2.6
2022/06/05 (00:54:29) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/05 (00:54:48) | ===> btop++ v.1.2.6
2022/06/05 (00:54:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/07 (14:54:13) | ===> btop++ v.1.2.6
2022/06/07 (14:54:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/09 (00:30:19) | ===> btop++ v.1.2.7
2022/06/09 (00:30:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/26 (00:44:28) | ===> btop++ v.1.2.7
2022/06/26 (00:44:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/26 (00:44:43) | ===> btop++ v.1.2.7
2022/06/26 (00:44:43) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/26 (00:47:26) | ===> btop++ v.1.2.7
2022/06/26 (00:47:26) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/26 (01:48:27) | ===> btop++ v.1.2.7
2022/06/26 (01:48:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/26 (01:52:28) | ===> btop++ v.1.2.7
2022/06/26 (01:52:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/05 (03:33:06) | ===> btop++ v.1.2.8
2022/07/05 (03:33:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/06 (01:12:50) | ===> btop++ v.1.2.8
2022/07/06 (01:12:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/06 (01:31:01) | ===> btop++ v.1.2.8
2022/07/06 (01:31:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/20 (11:24:31) | ===> btop++ v.1.2.8
2022/07/20 (11:24:31) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/22 (23:18:55) | ===> btop++ v.1.2.8
2022/07/22 (23:18:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/07/22 (23:19:27) | ===> btop++ v.1.2.8
2022/07/22 (23:19:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/08/02 (23:38:16) | ===> btop++ v.1.2.8
2022/08/02 (23:38:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/08/02 (23:55:00) | ===> btop++ v.1.2.8
2022/08/02 (23:55:00) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/08/07 (01:05:23) | ===> btop++ v.1.2.8
2022/08/07 (01:05:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/08/14 (03:05:01) | ===> btop++ v.1.2.8
2022/08/14 (03:05:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/08/22 (11:28:16) | ===> btop++ v.1.2.8
2022/08/22 (11:28:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/08/25 (23:23:16) | ===> btop++ v.1.2.8
2022/08/25 (23:23:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/08/28 (22:24:40) | ===> btop++ v.1.2.8
2022/08/28 (22:24:40) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/08/28 (23:43:41) | ===> btop++ v.1.2.8
2022/08/28 (23:43:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/09/09 (18:21:31) | ===> btop++ v.1.2.9
2022/09/09 (18:21:31) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/09/09 (23:06:46) | ===> btop++ v.1.2.9
2022/09/09 (23:06:46) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

